CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE_DE_MEDIDA,PRECO_VENDA,DATA_DA_COLETA
61602199002409,COMPANHIA ULTRAGAZ S A,ULTRAGAZ,RUA AMARO CASTRO LIMA,1852,,VILA NOVA CAMPO GRANDE,79106361,CAMPO GRANDE,MATO GROSSO DO SUL,ULTRAGAZ,GLP,R$ / 13 kg,125.0,2026-06-08
19791896007024,SUPERGASBRAS ENERGIA LTDA,SUPERGASBRAS ENERGIA,AVENIDA DEP. PLINIO RIBEIRO,3220,,JARDIM PALMEIRAS,39402194,MONTES CLAROS,MINAS GERAIS,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,120.0,2026-06-11
198451000185,COMERCIO DE PETROLEO COLORADO LTDA,TRR COLORADO,RUA DOMINGOS CALAZANS,518,,TRIANGULO,63041130,JUAZEIRO DO NORTE,CEARA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,130.0,2026-06-09
6321359000147,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918093,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,120.0,2026-06-10
4087649000142,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917100,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,124.0,2026-06-10
4767269000159,POSTO FLORESTA E AGROPECUARIA LTDA,,ESTRADA DA FLORESTA,684,,FLORESTA,69906380,RIO BRANCO,ACRE,AMAZONGÁS,GLP,R$ / 13 kg,116.0,2026-06-10
2366787000135,COMERCIAL SAVOIA LTDA,POSTO SAVOIA,AVENIDA RAYMUNDO SA BARRETO,S/N,LOTES 26 27 E 28,JARDIM SAVOIA,45658250,ILHEUS,BAHIA,BAHIANA,GLP,R$ / 13 kg,147.0,2026-06-11
34214809000138,COM DE DER DE PETROLEO BARRETO LTDA,,AVENIDA FRANZ GEDEON,250,,CENTRO,45200130,JEQUIE,BAHIA,BRANCA,GLP,R$ / 13 kg,100.0,2026-06-09
13707245000103,STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA,POSTO PAMPA,RUA BRIG SA BITENCOURT,5,,JEQUIEZINHO,45208087,JEQUIE,BAHIA,LIQUIGÁS,GLP,R$ / 13 kg,115.0,2026-06-09
37063328000914,AUTO SHOPPING DERIVADOS DE PETROLEO LTDA,REDE AUTO SHOPPING, QI 19 LOTES 02 E 04,S/N,SETOR INDUSTRIAL,TAGUATINGA,72120190,BRASILIA,DISTRITO FEDERAL,BRANCA,GLP,R$ / 13 kg,108.99,2026-06-09
306597001500,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,,QUADRA QR 516 CONJUNTO 13B LOTE LOTE,1,,SAMAMBAIA SUL,70772500,BRASILIA,DISTRITO FEDERAL,COPA ENERGIA,GLP,R$ / 13 kg,108.99,2026-06-09
2568878000234,AUTO POSTO BESSA LTDA,BESSA POSTO,AVENIDA EUCLIDES DA CUNHA,SN,QD.01 LT.01/02/03 E 18,CIDADE SATELITE SAO LUIZ,74920580,APARECIDA DE GOIANIA,GOIAS,BRANCA,GLP,R$ / 13 kg,110.0,2026-06-09
8585377000161,ANTONIA LIANE GOMES SOARES,POSTO SANTA ANA,AVENIDA LOURENCO VIEIRA DA SILVA,8,QUADRA 44-A,JARDIM SAO CRISTOVAO II,65055380,SAO LUIS,MARANHAO,LIQUIGÁS,GLP,R$ / 13 kg,130.0,2026-06-08
35196823000542,NICOLAU DERIVADOS DE PETROLEO LTDA,,AVENIDA DOS HOLANDESES,S/N,,OLHO DAGUA,65065180,SAO LUIS,MARANHAO,LIQUIGÁS,GLP,R$ / 13 kg,130.0,2026-06-10
35196823000623,NICOLAU DERIVADOS DE PETROLEO LTDA,,UNIDADE DUZENTOS E TRES,6000,,CIDADE OPERARIA,65058000,SAO LUIS,MARANHAO,LIQUIGÁS,GLP,R$ / 13 kg,130.0,2026-06-08
23706245000568,POSTO AMERICANO LTDA,POSTO AMERICANO,AVENIDA DOS HOLANDESES,202,,OLHO D'AGUA,65065180,SAO LUIS,MARANHAO,LIQUIGÁS,GLP,R$ / 13 kg,130.0,2026-06-10
69418101000183,LIMA COMERCIAL DE COMBUSTIVEIS LTDA,POSTO CONFIANÇA,AVENIDA JERONIMO DE ALBUQUERQUE  MARANHAO,5,,COHAB ANIL I,65051210,SAO LUIS,MARANHAO,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,119.9,2026-06-08
35196823000119,NICOLAU DERIVADOS DE PETROLEO LTDA,,AVENIDA JERONIMO DE ALBUQUERQUE MARANHAO,22,,FORQUILHA,65054015,SAO LUIS,MARANHAO,LIQUIGÁS,GLP,R$ / 13 kg,130.0,2026-06-08
8418219000117,AUTO POSTO RDG LTDA,POSTO TREVO II,RODOVIA BR 040,S/N,KM 143,MARIA JOSE DE PAULA,38770000,JOAO PINHEIRO,MINAS GERAIS,BRANCA,GLP,R$ / 13 kg,109.0,2026-06-10
23761448000123,SAYONARA COMERCIO DE PETROLEO LTDA,,RODOVIA MARGENS RODOVIA BR 040 KM 143,SN,,CENTRO,38770000,JOAO PINHEIRO,MINAS GERAIS,BRANCA,GLP,R$ / 13 kg,109.0,2026-06-10
2422918000154,VITORIA COMERCIO E TRANSPORTES LTDA.,POSTO VITÓRIA,RUA GAL. BERTOLDO KLINGER,2616,,JARDIM FLUMINENSE,79116020,CAMPO GRANDE,MATO GROSSO DO SUL,COPA ENERGIA,GLP,R$ / 13 kg,119.0,2026-06-08
5990575000112,POSTO F5 LTDA,POSTO NIPOBRAS,RUA DR. EULER DE AZEVEDO,3.46,,VILA OESTE,79116610,CAMPO GRANDE,MATO GROSSO DO SUL,COPA ENERGIA,GLP,R$ / 13 kg,112.0,2026-06-08
24610891000166,CAMPO GRANDE POSTO DE SERVICO LTDA,POSTO CAMPO GRANDE,AVENIDA CAPIBARIBE,327,,SILVIA REGINA,79102470,CAMPO GRANDE,MATO GROSSO DO SUL,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,132.0,2026-06-08
2969905000108,TROKAR POSTOS DE SERVICOS LTDA,AUTO POSTO TROKAR,RUA JOSE ANTONIO PEREIRA,260,,CENTRO,79002400,CAMPO GRANDE,MATO GROSSO DO SUL,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,115.0,2026-06-08
1742740000166,AUTO POSTO CASTELO LTDA,POSTO PANTANAL,RUA 14 DE JULHO,4763,,MONTE CASTELO,79010470,CAMPO GRANDE,MATO GROSSO DO SUL,COPA ENERGIA,GLP,R$ / 13 kg,130.0,2026-06-08
1330663000137,AUTO POSTO SHIMA LTDA,,AVENIDA DAS BANDEIRAS,2197,,JARDIM JOQUEI CLUB,79080001,CAMPO GRANDE,MATO GROSSO DO SUL,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,105.0,2026-06-08
6278577000146,AUTO POSTO GUAICURUS LTDA,AUTO POSTO GUAICURUS,AVENIDA WEIMAR GONCALVES TORRES,490,,JARDIM TROPICAL,79820080,DOURADOS,MATO GROSSO DO SUL,COPA ENERGIA,GLP,R$ / 13 kg,117.0,2026-06-08
212779000109,POSTO DE SERVICO SANTO ANTONIO LTDA,POSTO E SERVICO SANTO ANTONIO,AVENIDA GUAICURUS,820,,PARQUE ALVORADA,79823490,DOURADOS,MATO GROSSO DO SUL,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,115.0,2026-06-08
14140909000150,P CARVALHO & CIA LTDA,,AVENIDA DOM PEDRO II,1610,,SANTA ROSA,68440000,ABAETETUBA,PARA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,118.0,2026-06-08
6266344000395,LORENA COMERCIO DE PRODUTOS DE PETROLEO LTDA,,RUA CLAUDIO SANDERS,1400,ESTRADA DO MAGUARY,CENTRO,67030160,ANANINDEUA,PARA,BRANCA,GLP,R$ / 13 kg,105.0,2026-06-09
4976718000330,IRMAOS TEIXEIRA LTDA,POSTO ITEX,AVENIDA PEDRO ALVARES CABRAL,3800,,SACRAMENTA,66120620,BELEM,PARA,BAHIANA,GLP,R$ / 13 kg,130.0,2026-06-08
5303828000132,SUPERCENTRO POSTOS DE SERVIÇO LTDA,SUPERCENTRO,AVENIDA ALMIRANTE BARROSO,1814,B,MARCO,66093020,BELEM,PARA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,139.0,2026-06-08
22960942000235,DUARTE & SANTOS LTDA,POSTO DALLAS,AVENIDA PEDRO ALVARES CABRAL,17,PSG SANTOS DUMONT,TELEGRAFO,66050400,BELEM,PARA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,115.0,2026-06-08
1087686000162,POSTO GIRASSOL LTDA,POSTO GIRASSOL,RODOVIA AUGUSTO MONTENEGRO,1800,,NOVA MARAMBAIA,66623590,BELEM,PARA,ULTRAGAZ,GLP,R$ / 13 kg,125.0,2026-06-08
14685994000131,POSTO ALIANCA LTDA,POSTO ALIANÇA,RODOVIA ARTHUR BERNARDES,151,ESQ PEDRO A CABRAL,SACRAMENTA,66825000,BELEM,PARA,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,129.99,2026-06-08
14082648000169,POSTO UMARIZAL LTDA,POSTO UMARIZAL,RUA JERONIMO PIMENTEL,651,,UMARIZAL,66055000,BELEM,PARA,BRANCA,GLP,R$ / 13 kg,124.99,2026-06-08
5319538000187,AUTO POSTO SENADOR LTDA,AUTO POSTO SENADOR,AVENIDA SENADOR LEMOS,3606,,SACRAMENTA,66630505,BELEM,PARA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,115.0,2026-06-08
4976718000845,IRMAOS TEIXEIRA LTDA,POSTO ITEX,TRAVESSA D. ROMUALDO COELHO,301,,UMARIZAL,66630505,BELEM,PARA,BAHIANA,GLP,R$ / 13 kg,130.0,2026-06-08
4976718001221,IRMAOS TEIXEIRA LTDA,POSTO ITEX,AVENIDA PEDRO ALVARES CABRAL,1020,,MARAMBAIA,66615860,BELEM,PARA,BAHIANA,GLP,R$ / 13 kg,130.0,2026-06-08
4970059000163,CM COMERCIO DE COMBUSTIVEIS LTDA,POSTO OURO NEGRO,AVENIDA SENADOR LEMOS,2053,,TELEGRAFO,66113000,BELEM,PARA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,112.0,2026-06-08
9220427000170,FURTADO & CIA LTDA,POSTO PEDRO FURTADO,RUA DUQUE DE CAXIAS,293,0,CENTRO,58310000,CABEDELO,PARAIBA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,122.0,2026-06-08
41198466000120,AUTO POSTO INTERMARES LTDA,POSTO INTERMARES, BR 230 - KM 09  QUADRA  74,S/N,LOTES 11-12-13 -14,INTERMARES,58100100,CABEDELO,PARAIBA,LIQUIGÁS,GLP,R$ / 13 kg,120.0,2026-06-08
8587065000197,POSTO DE COMBUSTIVEIS ANEL DO BREJO LTDA,,RUA DR VASCONCELOS,127,,ALTO BRANCO,58102501,CAMPINA GRANDE,PARAIBA,BRANCA,GLP,R$ / 13 kg,105.0,2026-06-10
4304362000127,EDSON E KALINE REPRESENTACAO DE GAS LTDA,,AVENIDA DUQUE DE CAXIAS,286,,HELIOPOLIS,55299437,GARANHUNS,PERNAMBUCO,MINASGAS,GLP,R$ / 13 kg,110.0,2026-06-10
626575000114,POSTO MARIA FARINHA LTDA,,AVENIDA DOUTOR CLAUDIO JOSE GUEIROS LEITE,9064,,NOSSA SENHORA DO O,53429000,PAULISTA,PERNAMBUCO,BRANCA,GLP,R$ / 13 kg,105.0,2026-06-09
6034782000166,MARIA LEOCADIA DE SOUZA & CIA COMERCIO DE GLP LTDA,,RUA RIO BEBERIBE,70,,JOSE E MARIA,56320370,PETROLINA,PERNAMBUCO,LIQUIGÁS,GLP,R$ / 13 kg,120.0,2026-06-11
10973568000142,A.B. SILVA & CIA LTDA,POSTO ESSO DO ARRUDA,AVENIDA BEBERIBE,1021,LOJA 0000,PONTO DE PARADA,52041375,RECIFE,PERNAMBUCO,BRANCA,GLP,R$ / 13 kg,99.99,2026-06-11
2998548000106,SIVINI PETROLEO LTDA,POSTO SIVINI,AVENIDA BEBERIBE SANTA CRUZ FUTEBOL CLUBE,3433,,PORTO DA MADEIRA,52130547,RECIFE,PERNAMBUCO,BAHIANA,GLP,R$ / 13 kg,105.0,2026-06-08
81450538000108,AUTO POSTO FIALLA II LTDA,,AVENIDA DOUTOR VICTOR DO AMARAL,563,,CENTRO,83702040,ARAUCARIA,PARANA,BRANCA,GLP,R$ / 13 kg,110.0,2026-06-11
78951779000118,AUTO POSTO FIALLA LTDA,,AVENIDA ARCHELAU DE ALMEIDA TORRES,925,,CENTRO,83702185,ARAUCARIA,PARANA,LIQUIGÁS,GLP,R$ / 13 kg,110.0,2026-06-11
75634808000120,CAPELEZZO & CAPELEZZO LTDA,POSTO GUARANI,RUA GUARANI,912,,CENTRO,85501050,PATO BRANCO,PARANA,ULTRAGAZ,GLP,R$ / 13 kg,132.0,2026-06-09
77743755000100,WALDECIR BARONIO,POSTO BOM RETIRO,AVENIDA CÂMARA JUNIOR,132,,SÃO ROQUE DO CHOPIN,85501970,PATO BRANCO,PARANA,LIQUIGÁS,GLP,R$ / 13 kg,145.0,2026-06-09
1355571000101,CENTRO AUTOMOTIVO PARAISO DE SÃO GONÇALO LTDA.,POSTO PARAISO,RUA COMANDANTE ARI PARREIRAS,2013,,PARAISO,24430000,SAO GONCALO,RIO DE JANEIRO,BRANCA,GLP,R$ / 13 kg,115.0,2026-06-08
35298330000602,JVC COMERCIAL LTDA,,AVENIDA PRUDENTE DE MORAIS,1854,,LAGOA NOVA,59063200,NATAL,RIO GRANDE DO NORTE,LIQUIGÁS,GLP,R$ / 13 kg,128.0,2026-06-10
12689295000215,FLOR E OLIVEIRA LTDA,POSTO SANTA CLARA,AVENIDA GOV. TARCISIO DE VASCONCELOS MAIA,1450,A,CANDELARIA,59065780,NATAL,RIO GRANDE DO NORTE,LIQUIGÁS,GLP,R$ / 13 kg,130.0,2026-06-10
2745235000138,POSTO MAIA LTDA,AUTO POSTO MAIA,AVENIDA NAÇÕES UNIDAS,238,,NOSSA SENHORA DAS GRAÇAS,78915040,PORTO VELHO,RONDONIA,FOGAS,GLP,R$ / 13 kg,132.0,2026-06-09
3611874000173,A. P. FACCIO & CIA LTDA,AUTO POSTO KARAKAS,AVENIDA BRASIL,1228,QUADRA 74,CINTURAO VERDE,69312450,BOA VISTA,RORAIMA,FOGAS,GLP,R$ / 13 kg,156.0,2026-06-09
5939533000319,ARNOGAS & CIA LTDA,,RUA JOAO ALENCAR,696,,AEROPORTO,69312042,BOA VISTA,RORAIMA,FOGAS,GLP,R$ / 13 kg,138.0,2026-06-08
